Transaction_ID,Fraud_Flag
CTID50558449,1
CTID55936882,1
CTID63762180,1
CTID76723439,1
CTID21246201,1
CTID26555772,1
CTID20567160,1
CTID54759604,1
CTID44626561,1
CTID73773088,1
CTID62499873,1
CTID70746134,1
CTID29266043,1
CTID97776833,1
CTID16281374,1
CTID81479835,1
CTID20456246,1
CTID28195227,1
CTID42582298,1
CTID90938173,1
CTID41668436,1
CTID89260233,1
CTID60575167,1
CTID78032595,1
CTID22306254,1
CTID25962688,1
CTID95859840,1
CTID29469747,1
CTID45648244,1
CTID56303514,1
CTID97760025,1
CTID56692687,1
CTID92439353,1
CTID84579664,1
CTID60614984,1
CTID49913734,1
CTID26134025,1
CTID38789752,1
CTID81793385,1
CTID73000031,1
CTID36997643,1
CTID55429304,1
CTID68050021,1
CTID12041601,1
CTID57707566,1
CTID95135812,1
CTID39550827,1
CTID38931999,1
CTID95884307,1
CTID73429087,1
CTID80787923,1
CTID42980186,1
CTID52594996,1
CTID36309710,1
CTID70222721,1
CTID80436326,1
CTID13865418,1
CTID40881434,1
CTID57357592,1
CTID45385078,1
CTID94511089,1
CTID54381577,1
CTID71795114,1
CTID26238474,1
CTID23350804,1
CTID89116114,1
CTID30763806,1
CTID99066676,1
CTID32892929,1
CTID53972836,1
CTID68584964,1
CTID69594649,1
CTID84024131,1
CTID44773525,1
CTID85085771,1
CTID24913963,1
CTID59571587,1
CTID63195033,1
CTID32907279,1
CTID37742156,1
CTID18338743,1
CTID96772424,1
CTID66265146,1
CTID56680308,1
CTID41847490,1
CTID31867370,1
CTID12270763,1
CTID43014391,1
CTID87470159,1
CTID98722314,1
CTID69782227,1
CTID70707358,1
CTID88342446,1
CTID34574410,1
CTID55853142,1
CTID65786114,1
CTID66191168,1
CTID33699337,1
CTID21253563,1
CTID89585938,1
CTID15034243,1
CTID85930060,1
CTID99663510,1
CTID15730669,1
CTID57993591,1
CTID91108283,1
CTID30494187,1
CTID51301522,1
CTID49517337,1
